,key,Unnamed: 0_x,easting,northing,unique_cluster,control_panel,night,view_direction,pano,Unnamed: 0_y,sequence_key,frame_number,Path,City
317,QY4XzBW5h_zmYcMFUrUAEw,317,386532.5796871245,5824864.402434953,28,True,False,Forward,False,953,9rxpfm47ibam3w7bizdz20,244,Places_Data/train_val/berlin/query,berlin
318,n-j7cr8zPkBz4oZbaGr2Mw,318,386518.1992328982,5824841.756608179,28,True,False,Forward,False,954,9rxpfm47ibam3w7bizdz20,245,Places_Data/train_val/berlin/query,berlin
319,3oUXUxoXSfYCJl7JtDLgCw,319,386518.1992328982,5824841.756608179,28,True,False,Forward,False,955,9rxpfm47ibam3w7bizdz20,246,Places_Data/train_val/berlin/query,berlin
320,FgX3YbT61J_-DMHjFVox-g,320,386510.6675118508,5824829.601462796,28,True,False,Forward,False,956,9rxpfm47ibam3w7bizdz20,247,Places_Data/train_val/berlin/query,berlin
321,fYkaZswfOF-y62kRhtPjwg,321,386510.6675118508,5824829.601462796,28,True,False,Forward,False,957,9rxpfm47ibam3w7bizdz20,248,Places_Data/train_val/berlin/query,berlin
322,HKGqiAjATpuqw4-CwuxgUg,322,386503.5930270797,5824820.785274908,28,True,False,Forward,False,958,9rxpfm47ibam3w7bizdz20,249,Places_Data/train_val/berlin/query,berlin
323,IwbT-408F9TmmSagcsnE_A,323,386503.5930270797,5824820.785274908,28,True,False,Forward,False,959,9rxpfm47ibam3w7bizdz20,250,Places_Data/train_val/berlin/query,berlin
324,cXst3dBevAW_adgk41e0jQ,324,386495.17459666287,5824809.874823097,28,True,False,Forward,False,960,9rxpfm47ibam3w7bizdz20,251,Places_Data/train_val/berlin/query,berlin
325,P44Wgl5894ujEAkXpnXSqQ,325,386485.5031464087,5824800.495765348,28,True,False,Forward,False,961,9rxpfm47ibam3w7bizdz20,252,Places_Data/train_val/berlin/query,berlin
326,uCVtU_XmB2FkVtNNnrClxA,326,386485.5031464087,5824800.495765348,28,True,False,Forward,False,962,9rxpfm47ibam3w7bizdz20,253,Places_Data/train_val/berlin/query,berlin
327,QfjGiL_k7GrrPXKqM3eyWw,327,386476.6829873818,5824792.732794252,28,True,False,Forward,False,963,9rxpfm47ibam3w7bizdz20,254,Places_Data/train_val/berlin/query,berlin
328,Ep0xGknEdvAWXCbYKFMhYQ,328,386476.6829873818,5824792.732794252,28,True,False,Forward,False,964,9rxpfm47ibam3w7bizdz20,255,Places_Data/train_val/berlin/query,berlin
329,lYTan5xNWfwE2llYK1-43Q,329,386467.2342436125,5824785.062328623,28,True,False,Forward,False,965,9rxpfm47ibam3w7bizdz20,256,Places_Data/train_val/berlin/query,berlin
330,fyytol8S-SIYMMMbZfZzfA,330,386443.7946687971,5824769.214875503,28,True,False,Forward,False,966,9rxpfm47ibam3w7bizdz20,257,Places_Data/train_val/berlin/query,berlin
331,IMc-gWfUCQuv2NcWzf8hXA,331,386443.7946687971,5824769.214875503,28,True,False,Forward,False,967,9rxpfm47ibam3w7bizdz20,258,Places_Data/train_val/berlin/query,berlin
332,lAnF5IKBgPKVTCW43hfMRg,332,386430.3810948006,5824765.453490231,28,True,False,Forward,False,968,9rxpfm47ibam3w7bizdz20,259,Places_Data/train_val/berlin/query,berlin
333,71xTJzdduqisla4nCJQK5Q,333,386430.3810948006,5824765.453490231,28,True,False,Forward,False,969,9rxpfm47ibam3w7bizdz20,260,Places_Data/train_val/berlin/query,berlin
334,rT_J6vpwzj1voxfNr9K9-g,334,386403.4241082247,5824756.431548833,28,True,False,Forward,False,970,9rxpfm47ibam3w7bizdz20,263,Places_Data/train_val/berlin/query,berlin
335,r9ew8fM6hju71pWiV_fvog,335,386380.3913807009,5824750.812800623,28,True,False,Forward,False,971,9rxpfm47ibam3w7bizdz20,266,Places_Data/train_val/berlin/query,berlin
336,xv_24Kanol9WCPBCBB3HOA,336,386380.3913807009,5824750.812800623,28,True,False,Forward,False,972,9rxpfm47ibam3w7bizdz20,267,Places_Data/train_val/berlin/query,berlin
337,u_ljeTXlAXBYM6jDaYluAw,337,386366.0276078015,5824747.60781502,28,True,False,Forward,False,973,9rxpfm47ibam3w7bizdz20,268,Places_Data/train_val/berlin/query,berlin
338,KBhr66fKspo_Pwu9Q3ywwQ,338,386340.55280361744,5824738.173414568,28,True,False,Forward,False,974,9rxpfm47ibam3w7bizdz20,269,Places_Data/train_val/berlin/query,berlin
339,_EHn5TSbxlBKPh_GmWgN2A,339,386340.55280361744,5824738.173414568,28,True,False,Forward,False,975,9rxpfm47ibam3w7bizdz20,270,Places_Data/train_val/berlin/query,berlin
340,SlpJ5UPn9Mz0LUdrEs6lzw,340,386329.2840183951,5824737.411554961,28,True,False,Forward,False,976,9rxpfm47ibam3w7bizdz20,271,Places_Data/train_val/berlin/query,berlin
341,qF4QJ4400WIP3JaWePcSGQ,341,386329.2840183951,5824737.411554961,28,True,False,Forward,False,977,9rxpfm47ibam3w7bizdz20,272,Places_Data/train_val/berlin/query,berlin
342,tupWbPbj4S2SA2ZSJVwKzg,342,386305.8356986025,5824733.761360602,28,True,False,Forward,False,978,9rxpfm47ibam3w7bizdz20,273,Places_Data/train_val/berlin/query,berlin
343,gHFbR7RlEXeBBKYo3z60ww,343,386305.8356986025,5824733.761360602,28,True,False,Forward,False,979,9rxpfm47ibam3w7bizdz20,274,Places_Data/train_val/berlin/query,berlin
344,UsmbGNZL01yi9a1N7LUZow,344,386295.20400353946,5824731.816314291,28,True,False,Forward,False,980,9rxpfm47ibam3w7bizdz20,275,Places_Data/train_val/berlin/query,berlin
